cod_munic;munic;ano;mes;pop
3305901;Trajano de Moraes;2006;12;10198
3306008;Três Rios;2006;12;75432
3306107;Valença;2006;12;69809
3306156;Varre-Sai;2006;12;8859
3306206;Vassouras;2006;12;33319
3306305;Volta Redonda;2006;12;252050
3300100;Angra dos Reis;2007;1;149920
3300159;Aperibé;2007;1;9385
3300209;Araruama;2007;1;100791
3300225;Areal;2007;1;10865
3300233;Armação dos Búzios;2007;1;23846
3300258;Arraial do Cabo;2007;1;26308
3300308;Barra do Piraí;2007;1;92534
3300407;Barra Mansa;2007;1;175310
3300456;Belford Roxo;2007;1;456831
3300506;Bom Jardim;2007;1;24361
3300605;Bom Jesus do Itabapoana;2007;1;34786
3300704;Cabo Frio;2007;1;162855
3300803;Cachoeiras de Macacu;2007;1;52196
3300902;Cambuci;2007;1;14772
3301009;Campos dos Goytacazes;2007;1;443041
3301108;Cantagalo;2007;1;19832
3300936;Carapebus;2007;1;11486
3301157;Cardoso Moreira;2007;1;12598
3301207;Carmo;2007;1;16652
3301306;Casimiro de Abreu;2007;1;30029
3300951;Comendador Levy Gasparian;2007;1;8089
3301405;Conceição de Macabu;2007;1;20328
3301504;Cordeiro;2007;1;19771
3301603;Duas Barras;2007;1;10718
3301702;Duque de Caxias;2007;1;826320
3301801;Engenheiro Paulo de Frontin;2007;1;12851
3301850;Guapimirim;2007;1;46281
3301876;Iguaba Grande;2007;1;19769
3301900;Itaboraí;2007;1;206806
3302007;Itaguaí;2007;1;98738
3302056;Italva;2007;1;13541
3302106;Itaocara;2007;1;22935
3302205;Itaperuna;2007;1;92547
3302254;Itatiaia;2007;1;27299
3302270;Japeri;2007;1;91030
3302304;Laje do Muriaé;2007;1;7632
3302403;Macaé;2007;1;176986
3302452;Macuco;2007;1;5132
3302502;Magé;2007;1;219561
3302601;Mangaratiba;2007;1;31913
3302700;Maricá;2007;1;106784
3302809;Mendes;2007;1;17706
3302858;Mesquita;2007;1;168259
3302908;Miguel Pereira;2007;1;24380
3303005;Miracema;2007;1;26920
3303104;Natividade;2007;1;15097
3303203;Nilópolis;2007;1;156116
3303302;Niterói;2007;1;477537
3303401;Nova Friburgo;2007;1;179002
3303500;Nova Iguaçu;2007;1;785134
3303609;Paracambi;2007;1;44683
3303708;Paraíba do Sul;2007;1;39760
3303807;Paraty;2007;1;34522
3303856;Paty do Alferes;2007;1;25850
3303906;Petrópolis;2007;1;292600
3303955;Pinheiral;2007;1;21530
3304003;Piraí;2007;1;24764
3304102;Porciúncula;2007;1;17105
3304110;Porto Real;2007;1;14858
3304128;Quatis;2007;1;12030
3304144;Queimados;2007;1;132153
3304151;Quissamã;2007;1;17652
3304201;Resende;2007;1;114210
3304300;Rio Bonito;2007;1;53427
3304409;Rio Claro;2007;1;16997
3304508;Rio das Flores;2007;1;8221
3304524;Rio das Ostras;2007;1;72982
3304557;Rio de Janeiro;2007;1;6154625
3304607;Santa Maria Madalena;2007;1;10375
3304706;Santo Antônio de Pádua;2007;1;39915
3304805;São Fidélis;2007;1;37277
3304755;São Francisco de Itabapoana;2007;1;41281
3304904;São Gonçalo;2007;1;960315
3305000;São João da Barra;2007;1;30879
3305109;São João de Meriti;2007;1;455433
3305133;São José de Ubá;2007;1;6791
3305158;São José do Vale do Rio Preto;2007;1;19905
3305208;São Pedro da Aldeia;2007;1;78332
3305307;São Sebastião do Alto;2007;1;8719
3305406;Sapucaia;2007;1;17395
3305505;Saquarema;2007;1;65759
3305554;Seropédica;2007;1;73399
3305604;Silva Jardim;2007;1;21320
3305703;Sumidouro;2007;1;14643
3305752;Tanguá;2007;1;29009
3305802;Teresópolis;2007;1;154272
3305901;Trajano de Moraes;2007;1;10200
3306008;Três Rios;2007;1;75478
3306107;Valença;2007;1;69856
3306156;Varre-Sai;2007;1;8873
3306206;Vassouras;2007;1;33345
3306305;Volta Redonda;2007;1;252183
3300100;Angra dos Reis;2007;2;150367
3300159;Aperibé;2007;2;9404
